entry_time,sl_pct,target_pct,total_trades,winners,win_rate,total_pnl,avg_pnl,profit_factor
10:15,30,50,9,4,44.44444444444444,-67.5,-7.5,0.9901225535028352
10:30,20,50,9,3,33.33333333333333,-230.00000000000068,-25.55555555555563,0.9540114971257182
10:30,30,40,9,4,44.44444444444444,-392.5000000000002,-43.611111111111136,0.9302532207907594
11:00,20,50,9,3,33.33333333333333,-419.9999999999991,-46.666666666666565,0.9119266055045875
10:30,25,50,9,3,33.33333333333333,-455.0,-50.55555555555556,0.9129394881607269
11:00,20,30,9,4,44.44444444444444,-517.4999999999981,-57.49999999999979,0.8732394366197188
10:15,25,40,9,4,44.44444444444444,-521.2500000000009,-57.91666666666677,0.912043872600717
10:15,20,40,9,3,33.33333333333333,-564.9999999999995,-62.77777777777773,0.879047364195879
11:00,30,40,9,4,44.44444444444444,-656.249999999998,-72.91666666666644,0.8804372580277844
11:00,25,40,9,4,44.44444444444444,-656.249999999998,-72.91666666666644,0.8804372580277844
10:15,25,60,9,3,33.33333333333333,-782.5000000000005,-86.9444444444445,0.8847145488029464
10:30,35,40,9,4,44.44444444444444,-846.25,-94.02777777777777,0.8608427543679341
11:00,20,70,9,3,33.33333333333333,-881.2499999999991,-97.91666666666657,0.8152031454783751
10:30,20,40,9,3,33.33333333333333,-1077.5000000000007,-119.7222222222223,0.784553861534616
10:30,30,60,9,3,33.33333333333333,-1082.5000000000005,-120.27777777777783,0.8375539298443068
10:15,20,70,9,2,22.22222222222222,-1123.7499999999998,-124.86111111111109,0.7968820605512879
10:15,35,70,9,4,44.44444444444444,-1158.75,-128.75,0.8525763358778626
11:00,25,60,9,3,33.33333333333333,-1277.4999999999986,-141.9444444444443,0.7973026576755258
10:30,25,40,9,3,33.33333333333333,-1302.4999999999998,-144.7222222222222,0.7507773259985647
10:15,30,40,9,4,44.44444444444444,-1428.7500000000005,-158.75000000000006,0.7909273824766782
09:45,40,30,9,5,55.55555555555556,-1476.2500000000011,-164.0277777777779,0.8038531805347948
10:15,20,60,9,2,22.22222222222222,-1483.749999999999,-164.861111111111,0.7318120198825125
10:30,20,70,9,2,22.22222222222222,-1621.250000000001,-180.138888888889,0.7131165671311654
11:00,30,60,9,3,33.33333333333333,-1663.749999999999,-184.861111111111,0.7512614464586059
10:30,30,30,9,4,44.44444444444444,-1722.4999999999995,-191.38888888888883,0.6939138160817414
11:00,35,40,9,4,44.44444444444444,-1741.2499999999975,-193.47222222222194,0.7351207453888574
10:15,25,70,9,3,33.33333333333333,-1793.750000000001,-199.30555555555566,0.7357274401473296
10:30,35,60,9,3,33.33333333333333,-1861.2500000000002,-206.80555555555557,0.7499160228417869
11:00,30,30,9,4,44.44444444444444,-1923.7499999999982,-213.7499999999998,0.6495103621043046
11:00,25,30,9,4,44.44444444444444,-1923.7499999999982,-213.7499999999998,0.6495103621043046
11:00,25,50,9,3,33.33333333333333,-1953.7499999999982,-217.08333333333314,0.6900039666798893
10:30,20,60,9,2,22.22222222222222,-1965.000000000001,-218.33333333333343,0.6522893165228929
10:15,30,60,9,3,33.33333333333333,-2015.0,-223.88888888888889,0.7487531172069825
10:30,20,30,9,3,33.33333333333333,-2030.0,-225.55555555555554,0.5941014746313421
10:30,35,30,9,4,44.44444444444444,-2176.249999999999,-241.80555555555546,0.6421377183967112
10:30,30,70,9,3,33.33333333333333,-2181.250000000001,-242.3611111111112,0.6726692928156067
10:30,25,70,9,2,22.22222222222222,-2232.500000000001,-248.05555555555566,0.6435129740518961
10:30,25,30,9,3,33.33333333333333,-2254.999999999999,-250.55555555555546,0.5685242764888783
